"Lab","Resources","HasParams","ParamsExternalized","Hardcoded"
"any-to-any","vWAN, VM, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"ft-wan","vWAN, VM, ER Gateway, VNet, NVA, Hub, BGP Peering","True","Partial","Partially"
"gr-vwan","vWAN, ER Gateway, Firewall, VNet, NVA, BGP Peering","False","No","Partially"
"inter-region-azfw","vWAN, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"inter-region-nva","vWAN, VM, ER Gateway, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","True","Partial","Partially"
"inter-region-nva-srp","vWAN, VM, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"inter-region-nvabgp","vWAN, VM, VNet, Routing Intent, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"inter-region-transitbgp","vWAN, VM, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"isolate-vnets-custom","vWAN, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"lab","vWAN, VNet, NVA, Hub","False","No","Partially"
"migration-multi-region","vWAN, ER Gateway, Firewall, VNet, BGP Peering","False","No","Partially"
"migration-single-region","vWAN, ER Gateway, Firewall, VNet, BGP Peering","False","No","Partially"
"natvpn-over-er","vWAN, VM, ER Gateway, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","True","Partial","Partially"
"nva-spoke-internet","vWAN, VNet, NVA, Hub","False","No","Partially"
"nva-spoke-internet-inter-hub","vWAN, VNet, NVA, Hub","False","No","Partially"
"pa-ngfw-saas","vWAN, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"secured-vhub","vWAN, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"single-region-vpn","vWAN, ER Gateway, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"svh-bgp","vWAN, Firewall, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"svh-inter-region-er","vWAN, ER Gateway, Firewall, VNet, NVA, Hub, BGP Peering","False","No","Partially"
"svh-multi-hub","vWAN, VM, Firewall, VNet, Routing Intent, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"svh-ri-bgp","vWAN, VM, Firewall, VNet, Routing Intent, NVA, Hub, BGP Peering","False","No","Partially"
"svh-ri-inter-region","vWAN, Firewall, VNet, Routing Intent, Hub","True","Partial","Partially"
"svh-ri-intra-region","vWAN, Firewall, VNet, Routing Intent, NVA, Hub","True","Partial","Partially"
"two-vwans","vWAN, ER Gateway, VNet, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"unified-lab","vWAN, VM, ER Gateway, Firewall, VNet, Routing Intent, NVA, VPN Gateway, Hub, BGP Peering","True","Yes (*.bicepparam)","Partially"
"vhub-nvafw-bgp","vWAN, Firewall, VNet, NVA, Hub, BGP Peering","False","No","Partially"
"vpn-over-er","vWAN, Firewall, VNet, Routing Intent, NVA, VPN Gateway, Hub, BGP Peering","False","No","Partially"
"vrf-vwan","vWAN, Firewall, Routing Intent, VPN Gateway, Hub, BGP Peering","True","Partial","Partially"
