"Lab","BicepCount","ArmCount","AzCliCount","IaCType","BicepFiles","AzCliCount_Total"
"any-to-any","0","0","11","AzCLI","","11"
"ft-wan","1","0","3","Bicep + AzCLI","ft-deploy.bicep","3"
"gr-vwan","0","0","7","AzCLI","","7"
"inter-region-azfw","0","0","5","AzCLI","","5"
"inter-region-nva","2","2","7","Bicep + ARM + AzCLI","main.bicep, main.bicep","7"
"inter-region-nva-srp","0","0","5","AzCLI","","5"
"inter-region-nvabgp","0","0","18","AzCLI","","18"
"inter-region-transitbgp","0","0","5","AzCLI","","5"
"isolate-vnets-custom","0","0","3","AzCLI","","3"
"lab","0","0","1","AzCLI","","1"
"migration-multi-region","0","0","9","AzCLI","","9"
"migration-single-region","0","0","4","AzCLI","","4"
"natvpn-over-er","1","0","3","Bicep + AzCLI","vwanvpnnat.bicep","3"
"nva-spoke-internet","0","0","1","AzCLI","","1"
"nva-spoke-internet-inter-hub","0","0","2","AzCLI","","2"
"p2s-usrgrp-svh","0","0","0","None","","0"
"pa-ngfw-saas","0","0","2","AzCLI","","2"
"secured-vhub","0","0","5","AzCLI","","5"
"single-region-vpn","0","0","5","AzCLI","","5"
"svh-bgp","0","0","3","AzCLI","","3"
"svh-inter-region-er","0","0","4","AzCLI","","4"
"svh-multi-hub","0","0","4","AzCLI","","4"
"svh-ri-bgp","0","0","4","AzCLI","","4"
"svh-ri-inter-region","3","0","17","Bicep + AzCLI","main.bicep, routeintent copy.bicep, routeintent.bicep","17"
"svh-ri-intra-region","3","0","6","Bicep + AzCLI","main.bicep, routeintent copy.bicep, routeintent.bicep","6"
"two-vwans","0","0","3","AzCLI","","3"
"unified-lab","17","0","0","Bicep","main.bicep, er-connection.bicep, hub-bgp-peer.bicep, vnet-connection.bicep, vpn-site.bicep, branch-sim.bicep, spoke-vnet.bicep, vwan-hub.bicep, custom-route-table.bicep, route-map.bicep, routing-intent.bicep, spoke-udr.bicep, firewall-policy.bicep, linux-nva.bicep, opnsense-nva.bicep, nva-ilb.bicep, scenario-types.bicep","0"
"vhub-nvafw-bgp","0","0","2","AzCLI","","2"
"vpn-over-er","0","0","6","AzCLI","","6"
"vrf-vwan","1","0","12","Bicep + AzCLI","vwanvpnnat.bicep","12"
